Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Description,Comments,RoHS Status,Lead Free Status,REACH Status
768-1008-1-ND,FTDI (VA),FT232RQ-REEL,IC1                                             ,1,0,0,IC USB FS SERIAL UART 32-QFN,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2011
609-3218-ND,FCI,67996-406HLF,ICSP                                            ,1,0,0,CONN HEADER 6POS .100 STR TIN,,RoHS Compliant,Lead free,Unaffected Jun-2011
S9169-ND,SULLINS CONNECTOR SOLUTIONS,SBH11-PBPC-D05-ST-BK,JPJTAG                                          ,1,0,0,CONN HEADER 2.54MM 10POS GOLD,,RoHS Compliant,Lead free,Unaffected Sep-2008
240-2389-1-ND,LAIRD-SIGNAL INTEGRITY PRODUCTS (VA),MI0805K400R-10,L1                                              ,1,0,0,FERRITE 1.5A 40 OHM 0805 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Aug-2011
ED2992CT-ND,ON SHORE TECHNOLOGY INC (VA),USB-M26FTR,X24                                             ,1,0,0,CONN USB MINI B R/A SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Aug-2011
CP-102A-ND,CUI INC,PJ-102A,J1                                              ,1,0,0,CONN JACK POWER 2.1MM PCB,,RoHS Compliant,Lead free,Unaffected Oct-2010
MMBT2222A-FDICT-ND,DIODES INC (VA),MMBT2222A-7-F,"T1,T2                                           ",2,0,0,TRANS NPN 40V 350MW SMD SOT23-3,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
TC7W125FUTFCT-ND,TOSHIBA (VA),"TC7W125FU(TE12L,F)",TC7W125FU                                       ,1,0,0,IC BUS BUFFER DUAL N-INV SM8,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
478-5061-1-ND,AVX CORP/KYOCERA CORP (VA),045036006219862+,SIMCARD_5036                                    ,1,0,0,CONNECTOR SIM CARD WITH BOSS,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
399-1249-1-ND,KEMET (VA),C1206C104K5RACTU,"C9,C10                                          ",2,0,0,CAP CER 0.1UF 50V 10% X7R 1206,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jan-2011
495-1549-1-ND,KEMET (VA),T495X107K016ZTE100,"C1,C3,C15                                       ",3,0,0,CAP TANT 100UF 16V 10% 2917,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jan-2011
P1.2KECT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-8GEYJ122V,R28                                             ,1,0,0,RES 1.2K OHM 1/4W 5% 1206 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
P1.5KECT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-8GEYJ152V,R26                                             ,1,0,0,RES 1.5K OHM 1/4W 5% 1206 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
A31112-ND,TE CONNECTIVITY AMP,3-644456-2,"JP5, MDMPWRJP4, MDMRX, MDMTX,DEBUG_SER1, FTDISER",6,0,0,CONN HEADER VERT 2POS .100 TIN,,RoHS Compliant,Lead free,Unaffected Nov-1858
CF14JT270RCT-ND,STACKPOLE ELECTRONICS INC (VA),CF14JT270R,R17                                             ,1,0,0,RES 270 OHM 1/4W 5% CARBON FILM,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Aug-2011
1031K-ND,KEYSTONE ELECTRONICS,1031,,2,0,0,TERM TEST POINT SLOTTED .032"DIA,,RoHS Compliant,Lead free,Unaffected Dec-2011
240-2604-ND,LAIRD-SIGNAL INTEGRITY PRODUCTS,28A2809-0A2,USB BEAD                                        ,1,0,0,FERRITE EMI SPLIT/SNAP-ON CORE,,RoHS Compliant,Lead free,Unaffected Aug-2011
CP-2185-ND,TENSILITY INTERNATIONAL CORP,CA-2185,POWER CABLE                                     ,1,0,0,CABLE ASSY STR 2.1MM 6' 24 AWG,,RoHS Compliant,Lead free,Unaffected Jun-2011
CP-002A-ND,CUI INC,PJ-002A,J1                                              ,1,0,0,CONN POWER JACK 2.1MM,,RoHS Compliant,Lead free,Unaffected Oct-2010
240-2278-ND,LAIRD-SIGNAL INTEGRITY PRODUCTS,LFB127079-000,POWER CABLE FILTER                              ,1,0,0,FERRITE BEAD CORE EMI L/F 7.92MM,,RoHS Compliant,Lead free,Unaffected Aug-2011
NANOSMDC050F/13.2CT-ND,TE CONNECTIVITY RAYCHEM CIRCUIT PROTECTION (VA),NANOSMDC050F/13.2-2,F1                                              ,1,0,0,POLYSWITCH 0.50A RESET FUSE SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Aug-2011
445-1348-1-ND,TDK CORPORATION (VA),C2012X7R1H103K,C6                                              ,1,0,0,CAP CER 10000PF 50V 10% X7R 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Apr-2011
587-1442-1-ND,TAIYO YUDEN (VA),LMK212B7475KG-T,C8                                              ,1,0,0,CAP CER 4.7UF 10V 10% X7R 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Nov-2009
P270FCT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-8ENF2700V,R17,1,0,0,RES 270 OHM 1/4W 1% 1206 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
