,	95,82,	95,10387,0,0,10
588814,3325,1,0,578220,1384,7422,8897,16405,5,	0,5,	0,0,0,0,14
588881,3326,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
588943,3327,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
589006,3328,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
589068,3329,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
589731,3330,0,1,567653,22748,7295,88142,16403,82,	96,82,	95,11186,0,0,10
589815,3331,1,0,575356,1326,7420,7095,16403,5,	0,5,	0,0,0,0,14
589883,3332,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
589944,3333,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
590006,3334,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
590069,3335,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
590733,3336,0,1,566904,22736,7209,81902,16403,82,	95,82,	95,10387,0,0,0
590815,3337,1,0,577059,1356,7426,6326,16403,5,	0,5,	0,0,0,0,14
590880,3338,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
590944,3339,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
591005,3340,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
591069,3341,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
591732,3342,0,1,566791,22447,7327,85295,16407,82,	96,83,	96,11186,0,0,0
591814,3343,1,0,578368,1343,7439,7626,16403,4,	0,5,	0,0,0,0,14
591880,3344,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
591943,3345,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
592005,3346,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
592068,3347,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
592732,3348,0,1,567036,22649,7301,86852,16405,83,	95,82,	95,9472,0,0,10
592814,3349,1,0,578743,1323,7443,6463,16403,5,	0,5,	0,0,0,0,14
592879,3350,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
