ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
338825,1782,0,1,557283,1633249,7041,2281018,16436,5847,	7069,5846,	7070,13694,0,0,0
338921,1783,1,1,577175,22163,7275,36412,16436,80,	97,80,	97,13923,0,0,14
338997,1784,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
339060,1785,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
339122,1786,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
339185,1787,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
339826,1788,0,1,556473,1633989,7063,2284002,16434,5849,	7072,5848,	7071,13700,0,0,10
339920,1789,1,1,578633,22152,7285,37180,16434,81,	98,81,	98,13752,0,0,14
339998,1790,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
340060,1791,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
340123,1792,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
340185,1793,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
340826,1794,0,1,556069,1633563,7074,2281972,16434,5848,	7070,5847,	7070,13692,0,0,0
340920,1795,1,1,576143,22161,7276,38524,16434,81,	97,81,	97,12942,0,0,14
340998,1796,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
341059,1797,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
341121,1798,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
341184,1799,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
341825,1800,0,1,557606,1633101,7094,2281258,16436,5843,	7066,5844,	7067,13714,0,0,10
341921,1801,1,1,578871,22145,7277,35604,16436,80,	98,80,	97,14743,0,0,14
341997,1802,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
342061,1803,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
342122,1804,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
342185,1805,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
342824,1806,0,1,556616,1633261,7105,2289710,16434,5843,	7069,5844,	7069,13748,0,0,10
342921,1807,1,1,578695,22131,7277,36035,16436,81,	97,81,	98,12942,0,0,14
342999,1808,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
343060,1809,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
343123,1810,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
343185,1811,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
343824,1812,0,1,556176,1633202,7111,2301279,16431,5841,	7068,5839,	7066,13764,0,0,10
343920,1813,1,1,578604,22139,7277,36049,16436,80,	97,81,	97,13923,0,0,14
343998,1814,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
344059,1815,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
344123,1816,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
344184,1817,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
344825,1818,0,1,555248,1632278,7109,2310594,16431,5839,	7065,5840,	7066,13758,0,0,0
344920,1819,1,1,576162,22111,7275,36442,16436,81,	98,80,	97,13752,0,0,14
344995,1820,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
345059,1821,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
345120,1822,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
345184,1823,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
345825,1824,0,1,555413,1633054,7120,2326458,16434,5835,	7065,5834,	7065,13812,0,0,0
345919,1825,1,1,576334,22119,7280,37702,16436,81,	97,81,	98,12942,0,0,14
345997,1826,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
346058,1827,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
346122,1828,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
346183,1829,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
346824,1830,0,1,557090,1634040,7159,2337879,16431,5837,	7070,5840,	7072,13841,0,0,0
346918,1831,1,1,577060,22177,7279,38252,16431,80,	97,80,	97,13923,0,0,14
346996,1832,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
347060,1833,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
347121,1834,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
347183,1835,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
